GEO.id,GEO.id2,GEO.display-label,GC.target-geo-id,GC.target-geo-id2,GC.display-label,GC.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geography,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013
0100000US,,United States,310M200US22220,22220,"United States - In metropolitan statistical area - Fayetteville-Springdale-Rogers, AR-MO Metro Area","Fayetteville-Springdale-Rogers, AR-MO Metro Area",463204,463207,465674,474056,482727,491966
0100000US,,United States,310M200US22380,22380,"United States - In metropolitan statistical area - Flagstaff, AZ Metro Area","Flagstaff, AZ Metro Area",134421,134437,133929,134166,135862,136539
0100000US,,United States,310M200US22420,22420,"United States - In metropolitan statistical area - Flint, MI Metro Area","Flint, MI Metro Area",425790,425790,424969,421750,417791,415376
0100000US,,United States,310M200US22500,22500,"United States - In metropolitan statistical area - Florence, SC Metro Area","Florence, SC Metro Area",205566,205571,205718,205774,206117,206261
0100000US,,United States,310M200US22520,22520,"United States - In metropolitan statistical area - Florence-Muscle Shoals, AL Metro Area","Florence-Muscle Shoals, AL Metro Area",147137,147137,147229,147007,147106,147317
0100000US,,United States,310M200US22540,22540,"United States - In metropolitan statistical area - Fond du Lac, WI Metro Area","Fond du Lac, WI Metro Area",101633,101633,101649,101799,101715,101798
0100000US,,United States,310M200US22660,22660,"United States - In metropolitan statistical area - Fort Collins, CO Metro Area","Fort Collins, CO Metro Area",299630,299630,300482,305137,310686,315988
0100000US,,United States,310M200US22900,22900,"United States - In metropolitan statistical area - Fort Smith, AR-OK Metro Area","Fort Smith, AR-OK Metro Area",280467,280468,280682,280951,280626,279974
0100000US,,United States,310M200US23060,23060,"United States - In metropolitan statistical area - Fort Wayne, IN Metro Area","Fort Wayne, IN Metro Area",416257,416255,416831,419609,421526,424122
0100000US,,United States,310M200US23420,23420,"United States - In metropolitan statistical area - Fresno, CA Metro Area","Fresno, CA Metro Area",930450,930450,932719,940974,947581,955272
